PROVINCIA;FECHA;CASOS;FALLECIDOS;recuperados;terapia;test negativos;test totales
Ciudad de Buenos Aires;3/3/2020;1;;;;;
Ciudad de Buenos Aires;5/3/2020;1;;;;;
Buenos Aires;6/3/2020;1;;;;;
Ciudad de Buenos Aires;6/3/2020;1;;;;;
Ciudad de Buenos Aires;6/3/2020;1;;;;;
Ciudad de Buenos Aires;6/3/2020;1;;;;;
Ciudad de Buenos Aires;6/3/2020;1;;;;;
Córdoba;6/3/2020;1;;;;;
Ciudad de Buenos Aires;7/3/2020;1;;;;;
Buenos Aires;8/3/2020;1;;;;;
Ciudad de Buenos Aires;8/3/2020;1;;;;;
Ciudad de Buenos Aires;8/3/2020;1;;;;;
Buenos Aires;9/3/2020;0;1;;;;
Chaco;9/3/2020;1;;;;;
Chaco;9/3/2020;1;;;;;
Ciudad de Buenos Aires;9/3/2020;1;;;;;
Río Negro;9/3/2020;1;;;;;
San Luis;9/3/2020;1;;;;;
Buenos Aires;10/3/2020;1;;;;;
Ciudad de Buenos Aires;10/3/2020;1;;;;;
Buenos Aires;11/3/2020;1;;;;;
Ciudad de Buenos Aires;11/3/2020;1;;;;;
Buenos Aires;12/3/2020;1;;;;;
Buenos Aires;12/3/2020;1;;;;;
Buenos Aires;12/3/2020;1;;;;;
Buenos Aires;12/3/2020;1;;;;;
Chaco;12/3/2020;1;;;;;
Chaco;12/3/2020;1;;;;;
Ciudad de Buenos Aires;12/3/2020;1;;;;;
Ciudad de Buenos Aires;12/3/2020;1;;;;;
Córdoba;12/3/2020;1;;;;;
Entre Ríos;12/3/2020;1;;;;;
Buenos Aires;13/3/2020;1;;;;;
Chaco;13/3/2020;0;1;;;;
Ciudad de Buenos Aires;13/3/2020;1;;;;;
Ciudad de Buenos Aires;13/3/2020;1;;;;;
Buenos Aires;14/3/2020;1;;;;;
Chaco;14/3/2020;1;;;;;
Ciudad de Buenos Aires;14/3/2020;1;;;;;
Ciudad de Buenos Aires;14/3/2020;1;;;;;
Ciudad de Buenos Aires;14/3/2020;1;;;;;
Ciudad de Buenos Aires;14/3/2020;1;;;;;
Ciudad de Buenos Aires;14/3/2020;1;;;;;
Ciudad de Buenos Aires;14/3/2020;1;;;;;
San Luis;14/3/2020;1;;;;;
San Luis;14/3/2020;1;;;;;
Santa Fe;14/3/2020;1;;;;;
Buenos Aires;15/3/2020;1;;;;;
Chaco;15/3/2020;1;;;;;
Chaco;15/3/2020;1;;;;;
Ciudad de Buenos Aires;15/3/2020;1;;;;;
Ciudad de Buenos Aires;15/3/2020;1;;;;;
Ciudad de Buenos Aires;15/3/2020;1;;;;;
Ciudad de Buenos Aires;15/3/2020;1;;;;;
Ciudad de Buenos Aires;15/3/2020;1;;;;;
Ciudad de Buenos Aires;15/3/2020;1;;;;;
Tierra del Fuego;15/3/2020;1;;;;;
Tierra del Fuego;15/3/2020;1;;;;;
Buenos Aires;16/3/2020;1;;;;464;529
Chaco;16/3/2020;1;;;;;
Chaco;16/3/2020;1;;;;;
Chaco;16/3/2020;1;;;;;
Ciudad de Buenos Aires;16/3/2020;1;;;;;
Ciudad de Buenos Aires;16/3/2020;1;;;;;
Ciudad de Buenos Aires;16/3/2020;1;;;;;
Ciudad de Buenos Aires;16/3/2020;1;;;;;
Ciudad de Buenos Aires;16/3/2020;1;;;;;
Buenos Aires;17/3/2020;1;;;;496;574
Chaco;17/3/2020;1;;;;;
Ciudad de Buenos Aires;17/3/2020;4;;;;;
Córdoba;17/3/2020;2;;;;;
Entre Ríos;17/3/2020;1;;;;;
Jujuy;17/3/2020;1;;;;;
Río Negro;17/3/2020;1;;;;;
Salta;17/3/2020;1;;;;;
Santa Cruz;17/3/2020;1;;;;;
Buenos Aires;18/3/2020;6;1;18;;562;659
Chaco;18/3/2020;1;;;;;
Ciudad de Buenos Aires;18/3/2020;10;;;;;
Córdoba;18/3/2020;1;;;;;
Entre Ríos;18/3/2020;1;;;;;
Buenos Aires;19/3/2020;15;;23;;705;833
Chaco;19/3/2020;2;;;;;
Ciudad de Buenos Aires;19/3/2020;8;;;;;
Córdoba;19/3/2020;3;;;;;
Río Negro;19/3/2020;1;;;;;
Santa Fe;19/3/2020;1;;;;;
Tucumán;19/3/2020;1;;;;;
Buenos Aires;20/3/2020;9;;31;;872;1030
Chaco;20/3/2020;1;;;;;
Ciudad de Buenos Aires;20/3/2020;9;;;;;
Córdoba;20/3/2020;5;;;;;
Corrientes;20/3/2020;1;;;;;
Entre Ríos;20/3/2020;1;;;;;
Neuquén;20/3/2020;2;;;;;
Santiago del Estero;20/3/2020;1;;;;;
Tierra del Fuego;20/3/2020;1;;;;;
Buenos Aires;21/3/2020;15;1;27;;1028;1253
Chaco;21/3/2020;5;;;;;
Ciudad de Buenos Aires;21/3/2020;29;;;;;
Córdoba;21/3/2020;4;;;;;
Corrientes;21/3/2020;2;;;;;
Mendoza;21/3/2020;5;;;;;
Río Negro;21/3/2020;1;;;;;
Santa Fe;21/3/2020;2;;;;;
Tierra del Fuego;21/3/2020;3;;;;;
Tucumán;21/3/2020;1;;;;;
Buenos Aires;22/3/2020;8;;51;;1271;1537
Chaco;22/3/2020;7;;;;;
Ciudad de Buenos Aires;22/3/2020;11;;;;;
Córdoba;22/3/2020;8;;;;;
Misiones;22/3/2020;1;;;;;
Tucumán;22/3/2020;5;;;;;
Buenos Aires;23/3/2020;5;;52;;1453;1754
Chaco;23/3/2020;4;;;;;
Ciudad de Buenos Aires;23/3/2020;11;;;;;
Córdoba;23/3/2020;3;;;;;
Santa Fe;23/3/2020;13;;;;;
Buenos Aires;24/3/2020;28;1;63;;1453;1838
Chaco;24/3/2020;9;1;;;;
Ciudad de Buenos Aires;24/3/2020;30;;;;;
Córdoba;24/3/2020;7;;;;;
La Pampa;24/3/2020;1;;;;;
Neuquén;24/3/2020;1;;;;;
Santa Cruz;24/3/2020;1;;;;;
Santa Fe;24/3/2020;3;;;;;
Tierra del Fuego;24/3/2020;4;;;;;
Buenos Aires;25/3/2020;30;;72;22;1946;2448
Chaco;25/3/2020;12;1;;;;
Ciudad de Buenos Aires;25/3/2020;21;1;;;;
Córdoba;25/3/2020;15;;;;;
Entre Ríos;25/3/2020;3;;;;;
Mendoza;25/3/2020;1;;;;;
Neuquén;25/3/2020;1;;;;;
San Luis;25/3/2020;3;;;;;
Santa Cruz;25/3/2020;5;;;;;
Santa Fe;25/3/2020;22;;;;;
Tierra del Fuego;25/3/2020;1;;;;;
Tucumán;25/3/2020;2;;;;;
Buenos Aires;26/3/2020;27;2;75;25;2258;2847
Chaco;26/3/2020;3;1;;;;
Ciudad de Buenos Aires;26/3/2020;30;1;;;;
Córdoba;26/3/2020;4;;;;;
Jujuy;26/3/2020;2;;;;;
Mendoza;26/3/2020;1;;;;;
Neuquén;26/3/2020;3;;;;;
Santa Cruz;26/3/2020;2;;;;;
Santa Fe;26/3/2020;12;;;;;
Tierra del Fuego;26/3/2020;3;;;;;
Buenos Aires;27/3/2020;36;2;80;33;2817;3507
Chaco;27/3/2020;3;;;;;
Ciudad de Buenos Aires;27/3/2020;43;1;;;;
Córdoba;27/3/2020;5;;;;;
Corrientes;27/3/2020;2;;;;;
Entre Ríos;27/3/2020;3;;;;;
Mendoza;27/3/2020;1;1;;;;
Misiones;27/3/2020;0;;;;;
Neuquén;27/3/2020;3;;;;;
Río Negro;27/3/2020;3;1;;;;
Santa Fe;27/3/2020;9;;;;;
Santiago del Estero;27/3/2020;1;;;;;
Tucumán;27/3/2020;6;;;;;
Buenos Aires;28/3/2020;8;1;91;44;3215;3960
Chaco;28/3/2020;5;;;;;
Ciudad de Buenos Aires;28/3/2020;18;1;;;;
Córdoba;28/3/2020;1;;;;;
Corrientes;28/3/2020;3;;;;;
Mendoza;28/3/2020;1;;;;;
Neuquén;28/3/2020;2;;;;;
Santa Fe;28/3/2020;13;;;;;
Tierra del Fuego;28/3/2020;4;;;;;
Buenos Aires;29/3/2020;1;;228;53;3580;4400
Buenos Aires;29/3/2020;17;1;;;;
Chaco;29/3/2020;2;;;;;
Chaco;29/3/2020;4;;;;;
Ciudad de Buenos Aires;29/3/2020;-12;;;;;
Ciudad de Buenos Aires;29/3/2020;13;;;;;
Córdoba;29/3/2020;-5;;;;;
Córdoba;29/3/2020;18;;;;;
Corrientes;29/3/2020;1;;;;;
La Pampa;29/3/2020;2;;;;;
La Rioja;29/3/2020;1;;;;;
Mendoza;29/3/2020;1;;;;;
Misiones;29/3/2020;1;;;;;
Río Negro;29/3/2020;1;;;;;
San Juan;29/3/2020;1;;;;;
Santa Fe;29/3/2020;14;;;;;
Tierra del Fuego;29/3/2020;3;;;;;
Buenos Aires;30/3/2020;36;2;228;;;
